recipe_name,recipe_link,main_ingredient,meal_role,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,vitamin_a_iu,vitamin_c_mg,iron_mg,price_try,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,ingredient_14,ingredient_15,ingredient_16,ingredient_17,ingredient_18,ingredient_19,ingredient_20,ingredient_21,ingredient_22,ingredient_23,ingredient_24,ingredient_25,ingredient_26,ingredient_27,ingredient_28,ingredient_29,ingredient_30
Yoğurtlu Dövme Çorbası,https://www.nefisyemektarifleri.com/video/yogurtlu-dovme-bugday-corbasi/,Tahıl,Çorba,277,40.3,11.7,7.2,6.8,55.82,341.6,400.1,222.6,308.5,1.08,2.8,26.45,1 su bardağı dövme (aşurelik buğday),1.5 su bardağı nohut,1 litre su,2 su bardağı sıcak tavuk suyu (veya et suyu – 400 ml),1 tatlı kaşığı tuz,1 yemek kaşığı tereyağı,1 tatlı kaşığı kuru nane,1 tatlı kaşığı toz kırmızı biber,1 su bardağı yoğurt,1 yemek kaşığı un (tepeleme),1 adet yumurta sarısı,,,,,,,,,,,,,,,,,,,
Kıymalı Şehriye Çorbası,https://www.nefisyemektarifleri.com/video/kiymali-sehriye-corbasi-tarifi/,Kırmızı Et,Çorba,217,21,8,11,1.7,11.6,300.9,538.87,33.02,237.61,15.76,2.01,7.57,3 yemek kaşığı sıvı yağ,2 yemek kaşığı kıyma,5 yemek kaşığı domates sosu,1 tatlı kaşığı domates salçası,1 çay bardağı arpa şehriye,1 çay kaşığı tuz,6 su bardağı sıcak su,1 tutam maydanoz,,,,,,,,,,,,,,,,,,,,,,
Terbiyeli Tavuk Suyu Çorbası,https://www.nefisyemektarifleri.com/terbiyeli-tavuk-suyu-corbasi-3186359/,Tavuk,Çorba,324,20.3,20.6,17.3,0.7,156,200.67,190,40,492,14,1.31,23.65,Tavuğun istediğiniz her hangi bir yeri derili olmalı (1 tam büyük but kafi gelir),1 çorba kaşığı un,1 çorba kaşığı tereyağı,2 çorba kaşığı sıvı yağ,Tuz,Pul biber,3 avuç tel şehriye,2-3 dal maydanoz,Yarım limon suyu,1 yumurta sarısı,,,,,,,,,,,,,,,,,,,,
Lebeniye Çorbası,https://www.nefisyemektarifleri.com/lebeniye-corbasi-gaziantep-usulu/,Kırmızı Et,Çorba,191,17.5,8.3,9.7,2.2,29.2,210.2,392.08,87.73,101.24,2.05,1.19,49.32,2 yemek kaşığı pirinç,1 su bardağı haşlanmış nohut,1. 5 su bardağı yoğurt,2 yemek kaşığı un,Tuz,Yarım limon suyu,5. 5 su bardağı su,200 gr. Kıyma,1 adet soğan,Tuz,Karabiber,2 Yemek kaşığı tereyağ,1 tatlı kaşığı nane,,,,,,,,,,,,,,,,,
Havuçlu Ve Tel Şehriyeli Tavuk Çorbası,https://www.nefisyemektarifleri.com/havuclu-ve-tel-sehriyeli-tavuk-corbasi/,Tavuk,Çorba,321,29.9,22.8,11.8,1.07,69.74,570.71,596.84,79.12,2899.67,10.86,1.69,90.9,4 adet küçük tavuk baget,2 adet rendelenmiş havuç,1 adet orta boy soğan,3 diş sarımsak,1 küçük çay bardağı tel şehriye,1 yemek kaşığı tereyağı,1 yemek kaşığı zeytinyağı,1.5 yemek kaşığı un,6. 5-7 su bardağı tavuk suyu (Veya karışık kullanabilirsiniz),Tuz (yaklaşık 1 tatlı kaşığı),Karabiber (yarım çay kaşığı),Az pul biber (yarım çay kaşığı),1 adet limonun suyu,Bir tutam maydanoz,,,,,,,,,,,,,,,,
Terbiyeli İşkembe Çorbası,https://www.nefisyemektarifleri.com/video/terbiyeli-iskembe-corbasi-nasil-yapilir/,Kırmızı Et,Çorba,239,13.4,17.6,12.4,0.29,142.7,70.43,120.57,53.05,82.9,8.35,2.03,4.19,1 kilo iyi temizlenmiş işkembe,7 diş sarımsak,Yarım çay bardağı sirke,1.5 litre su,4 yemek kaşığı un,sıvı yağ,2 yemek kaşığı un,1 yumurta sarısı,2 yemek kaşığı yoğurt,Yarım limonun suyu,,,,,,,,,,,,,,,,,,,,
Yoğurt Çorbası,https://www.nefisyemektarifleri.com/yogurt-corbasi/,Süt Ürünü,Çorba,71,9,3,3,0.05,48,221.4,206.4,50,93.2,0.18,0.35,3.5,7 su bardağı su,4 çorba kaşığı pirinç,1 çorba kaşığı un,1 yumurta sarısı,1 su bardağı yoğurt,2 çay kaşığı tuz,Kuru nane,,,,,,,,,,,,,,,,,,,,,,,
Erişte Çorbası,https://www.nefisyemektarifleri.com/video/eriste-corbasi-nasil-yapilir/,Tahıl,Çorba,224,24.6,6.8,10.6,1.46,4,564.14,294.3,66.01,85.65,6.06,1.36,8.78,1 adet kuru soğan,2 yemek kaşığı sıvı yağ,1 yemek kaşığı un,1 çay bardağı erişte,3 su bardağı su (600 ml),2 su bardağı tavuk suyu (400 ml),1 yemek kaşığı domates salçası,1 tatlı kaşığı nane,1 tatlı kaşığı tuz,,,,,,,,,,,,,,,,,,,,,
Çeşm-i Nigar Çorbası,https://www.nefisyemektarifleri.com/muhtesem-cesm-i-nigar-corbasi/,Bakliyat,Çorba,269,19.6,10.4,15.4,6.6,48.7,185.1,90.8,377.5,291.7,7.13,2.4,14.06,1 bardak kırmızı mercimek,1 adet kuru soğan,1 çorba kaşığı un,Yarım çay bardağı zeytinyağı,1. 5 litre sıcak su,Tuz (yaklaşık 1 tatlı kaşığı),1 yumurta sarısı,Yarım su bardağı süt,1 limon suyu,1 çorba kaşığı tereyağı,1 tatlı kaşığı Kuru nane,1 çay kaşığı Toz kırmızı biber,1 çay kaşığı Pul biber,,,,,,,,,,,,,,,,,
Domatesli Tel Şehriye Çorbası,https://www.nefisyemektarifleri.com/domatesli-tel-sehriye-corbasi/,Tahıl,Çorba,182,23.4,3.6,8,1.1,8.6,191,339,13.65,663.67,11.5,0.92,18.24,1 çay bardağı tel şehriye,2 adet domates,1 yemek kaşığı sıvı yağ,1 yemek kaşığı tereyağı,Yarım yemek kaşığı salça,5 su bardağı su,1 tatlı kaşığı nane,Tuz (1 tatlı kaşığı kadar),,,,,,,,,,,,,,,,,,,,,,
Terbiyeli Tavuk Çorbası,https://www.nefisyemektarifleri.com/terbiyeli-tavuk-corbasi/,Tavuk,Çorba,327,26,26,12.5,1.6,26.5,321.5,322.5,358,505.4,30.78,0.96,154.66,1 adet tavuk göğsü veya 2 adet but (ben but kullandım),2 yemek kaşığı tereyağı,2 yemek kaşığı un,2 yemek kaşığı şehriye,Yarım limon,Tuz,Pul biber,Karabiber,Kekik,,,,,,,,,,,,,,,,,,,,,
Hanımağa Çorbası,https://www.nefisyemektarifleri.com/video/hanimaga-corbasi/,Bakliyat,Çorba,277,36.4,11.5,9,6.3,5.3,490.7,547.5,110.7,285.85,6.38,3.07,19.71,1 su bardağı haşlanmış nohut,1 çay bardağı haşlanmış yeşil mercimek,1 çay bardağı tel şehriye,1 çay bardağı erişte,1 yemek kaşığı domates salçası,Yarım yemek kaşığı biber salçası,1 adet kuru soğan,1 yemek kaşığı tereyağı,2 yemek kaşığı sıvı yağ,3 su bardağı et suyu (600 ml),4 su bardağı sıcak su (800 ml),1 tatlı kaşığı tuz,1 tatlı kaşığı kuru nane,1 tatlı kaşığı pul biber,1 çay kaşığı toz kırmızı biber,,,,,,,,,,,,,,,
Mercimek Çorbası,https://www.nefisyemektarifleri.com/video/lokanta-usulu-mercimek-corbasi-tarifi/,Bakliyat,Çorba,211,18,9.1,10.2,6.6,0,114.8,453,15.8,172,3.6,2.1,12.67,3-4 yemek kaşığı Ayçiçek Yağı,1 adet kuru soğan,1 tepeleme yemek kaşığı un,1 su bardağı Kırmızı Mercimek,1 çay kaşığı zerdeçal,Yarım çay kaşığı kimyon,Yarım çay kaşığı Tane Karabiber,1 tatlı kaşığı tuz,1 litre sıcak su,,,,,,,,,,,,,,,,,,,,,
Balkabağı Çorbası,https://www.nefisyemektarifleri.com/nefis-balkabagi-corbasi-tarifi/,Sebze,Çorba,183,19.4,5.1,9.2,4.04,1.2,89.6,713.9,269.2,1521.01,20.1,1.3,33.34,3 dilim bal kabağı,1 adet havuç,1 adet patates,1 adet soğan,3 diş sarımsak,Sıvı yağ,Tuz. pul biber. karabiber. zerdeçal,2 litre su,1 su bardağı süt,1 su bardağa et suyu veya 2 adet et suyu tablet,,,,,,,,,,,,,,,,,,,,
Fırında Közlenmiş Domates Çorbası,https://www.nefisyemektarifleri.com/firinda-kozlenmis-domates-corbasi/,Sebze,Çorba,83,11,2.3,3.3,1.97,5.34,257.65,435.27,100.9,787.8,197.26,0.6,27.35,4 adet domates,1 adet kırmızı biber,3 diş sarımsak,2 adet soğan,1 çay kaşığı karabiber,1 çay kaşığı kekik,1 çay kaşığı dolusu tuz,1 tatlı kaşığı şeker,1 yemek kaşığı tereyağı,1 yemek kaşığı un,1 tatlı kaşığı domates salçası,4 su bardağı sıcak su,1 çay kaşığı pul biber,1 tatlı kaşığı tuz,Yarım su bardağı süt (oda ısısında),,,,,,,,,,,,,,,
Sarımsaklı Un Çorbası,https://www.nefisyemektarifleri.com/sarimsakli-un-corbasi-tarifi/,Tahıl,Çorba,105,7.9,0.3,8.3,0.3,5.34,158.17,18.71,5.07,188.68,0.48,0.27,101.16,1 çorba kaşığı tereyağı,2 çorba kaşığı zeytinyağı,4 çorba kaşığı un,1 iri diş sarımsak,Karabiber,Tuz ve tavuk bulyon,Yeteri kadar su,1 tatlı kaşığı tereyağı,toz kırmızı biber ve kuru nane,isteğe bağlı olarak da sirke,,,,,,,,,,,,,,,,,,,,
Yeşil Mercimek Çorbası,https://www.nefisyemektarifleri.com/yesil-mercimek-corbasi-nasil-yapilir/,Bakliyat,Çorba,134,16.9,3.9,5.5,1.7,0,135.48,110.46,79.4,989.34,3.92,1.04,8.91,1 su bardağı yeşil mercimek (haşlanmış),2 adet soğan,1 çay bardağı arpa şehriye,1 yemek kaşığı salça,3 yemek kaşığı sıvı yağ,1 küçük boy havuç,1 tatlı kaşığı nane,Yeşil mercimek suyu,7 su bardağı sıcak su,Tuz,,,,,,,,,,,,,,,,,,,,
Sebzeli Tel Şehriyeli Tavuk Çorba,https://www.nefisyemektarifleri.com/sebzeli-tel-sehriyeli-muhtesem-tavuk-corba/,Tavuk,Çorba,208,21.3,12.3,8.1,1.32,6.68,280.35,148.92,13.82,1769.4,35.02,0.82,57.93,1 büyük boy tavuk but,6 su bardağı su,Yarım yemek kaşığı tereyağı,1 yemek kaşığı sıvı yağ,1. 5 yemek kaşığı un,1 diş rendelenmiş sarımsak,1 adet küçük doğranmış havuç,1 adet küçük doğranmış yeşil biber,1 adet küçük doğranmış tatlı kırmızı biber,1 çay bardağı tel şehriye,Bir tutam ince kıyılmış maydanoz,Tuz ve karabiber birer çay kaşığı kullandım siz damak zevkinise göre ayarlayın,Çorbanın kıvamı koyu gelirse su takviyesi yapabilirisiniz,Ben tekrar 1. 5 su bardağı ekledim,,,,,,,,,,,,,,,,
Şifa-ı Harika Tavuk Çorbası,https://www.nefisyemektarifleri.com/sifa-i-harika-tavuk-corbasi/,Tavuk,Çorba,66,4.3,4.4,3.4,0.2,5.9,109.43,31.82,3.7,115.07,0.37,0.34,21.63,1 adet tavuk but veya yarım tavuk göğsü,4 yemek kaşığı un,2 diş sarımsak,1 yemek kaşığı sirke,Tuz. karabiber. nane,Tereyağı,Pul biber,,,,,,,,,,,,,,,,,,,,,,,
Misket Köfte Çorbası,https://www.nefisyemektarifleri.com/misket-kofte-corbasi/,Kırmızı Et,Çorba,292,19.7,13,18.1,2.32,71.06,146.96,271.5,95.46,289.03,3.71,2.25,57.89,400 gr dana kıyma,1 su bardağı köftelik ince bulgur,1 soğan,1 yumurta,2 diş sarımsak,Pul biber,Karabiber,Maydanoz,Tuz,1.5-2 su bardağı yoğurt,1 yumurta,2 yemek kaşığı un,2 diş sarımsak,1 çay bardağı sıvı yağ veya tereyağı,1 tatlı kaşığı nane,Pul biber,,,,,,,,,,,,,,
Ekşili Köfte Çorbası,https://www.nefisyemektarifleri.com/video/eksili-kofte-corbasi/,Kırmızı Et,Çorba,326,30.9,14.7,15.6,3.1,230.8,238.07,543.6,251.3,2953.6,9.21,2,61.41,2 adet orta boy patates,2 adet orta boy havuç,Yarım çay bardağı sıvı yağ (60 ml),1 tatlı kaşığı tuz,Yarım çay kaşığı karabiber,Bir tutam maydanoz,7 su bardağı sıcak su (1400 ml),250 gram az yağlı dana kıyma,1 adet yumurta akı,4 yemek kaşığı ince bulgur,1 adet küçük boy rendelenmiş kuru soğan,1 çay kaşığı pul biber,Yarım çay kaşığı karabiber,Yarım çay kaşığı kimyon,1.5 çay kaşığı tuz,Un,1 adet yumurta sarısı,3 yemek kaşığı yoğurt,Yarım limon suyu,,,,,,,,,,,
Unlu Yoğurt Çorbası,https://www.nefisyemektarifleri.com/unlu-yogurt-corbasi-tarifi/,Süt Ürünü,Çorba,166,11.4,5.6,10.83,0.22,45.48,342.31,205.78,62.13,211.49,0.72,0.63,6.65,1 adet yumurta,1 su bardağı yoğurt,3 tepeleme yemek kaşığı un,3 su bardağı tavuk suyu,2 su bardağı su,1 tatlı kaşığı tuz,3 yemek kaşığı sıvıyağ veya tereyağı,1 tatlı kaşığı kırmızı pul biber,1 tatlı kaşığı nane,,,,,,,,,,,,,,,,,,,,,
Köfteli Çorba ve Ramazan Pidesi,https://www.nefisyemektarifleri.com/kofteli-corba-ve-ramazan-pidesi/,Kırmızı Et,Çorba,295,19.4,13.3,18.1,2.2,95,356.98,277.38,42.89,321.8,0.71,2.15,70.28,2 yemek kaşığı tereyağı,2 yemek kaşığı un,6 su bardağı soğuk su (1200 ml),1 su bardağı haşlanmış nohut,Yarım çay bardağı pirinç,1 tatlı kaşığı tuz,250 g kıyma,1 çay kaşığı tuz,Yarım çay kaşığı karabiber,Un,2 yemek kaşığı tereyağı,1 tatlı kaşığı kırmızı toz biber,1 tatlı kaşığı nane,1 çay kaşığı pul biber,2 yemek kaşığı yoğurt,1 adet yumurta sarısı,5 su bardağı un,2.5 su bardağı ılık su (500 ml),1 paket instant maya,1.5 tatlı kaşığı tuz,1 tatlı kaşığı şeker,1 yemek kaşığı yoğurt,1 adet yumurta sarısı,Susam,Çörek otu,,,,,
Mahluta Çorbası,https://www.nefisyemektarifleri.com/mahluta-corbasi-10284214/,Bakliyat,Çorba,155,16,6.5,7,4.2,25.4,130.46,137.83,217.17,927.14,3.82,1.81,12.01,1 su bardağı kırmızı mercimek,1 yemek kaşığı bulgur,1 yemek kaşığı pirinç,1 adet havuç,1 adet soğan,1 tatlı kaşığı tuz,8 su bardağı sıcak su,1 adet yumurta sarısı,2 yemek kaşığı yoğurt,4 yemek kaşığı sıvı yağ,2 yemek kaşığı salça,2 yemek kaşığı nar ekşisi,1 çay kaşığı kimyon,1 çay kaşığı nane,1 çay kaşığı pul biber,,,,,,,,,,,,,,,
Anadolu Çorbası,https://www.nefisyemektarifleri.com/anadolu-corbasi-bakliyat-corbasi/,Bakliyat,Çorba,225,20.7,6.7,12.5,3.5,89.03,296.79,231.8,145.6,473.9,3.35,1.62,43.31,1 yemek kaşığı kırmızı mercimek,1 yemek kaşığı yeşil mercimek,1 yemek kaşığı pirinç̧,2 yemek kaşığı bulgur,5 su bardağı su (200ml bardak ile ),1 su bardağı yoğurt,1 yumurta sarısı,1 yemek kaşığı un,1 adet kuru soğan,1 yemek kaşığı tereyağ,1 yemek kaşığı zeytinyağ,1 çay kaşığı pul biber,1 çay kaşığı ucuyla karabiber,1.5 tatlı kaşığı kuru nane,1 tatlı kaşığı tuz (damak tadına göre),,,,,,,,,,,,,,,
Şehriyeli Yoğurt Çorbası,https://www.nefisyemektarifleri.com/sehriyeli-yogurt-corbasi/,Süt Ürünü,Çorba,92,12,3,3.5,0.42,235.7,33.5,38.4,48.28,80.7,25.42,0.46,5.87,1 su bardağı yoğurt,2 yemek kaşığı un,1 yumurta,1 litreden biraz fazla su (ben kıvama göre ayarlıyorum),1 çay bardağı arpa şehriye,7 su bardağı su,1 yemek kaşığı tereyağı,1 tatlı kaşığı nane,Sarımsak (isteğe bağlı),,,,,,,,,,,,,,,,,,,,,
Makarnalı Tavuk Suyu Çorbası Yapımı,https://www.nefisyemektarifleri.com/video/makarnali-tavuk-suyu-corbasi-yapimi/,Tavuk,Çorba,213,15.3,18.1,8.7,0.92,14.16,261.82,163.89,53.92,1604.06,2.74,1.04,37.06,2 adet tavuk but,1 adet havuç,1 adet soğan,2 diş sarımsak,Tuz,15-20 adet çubuk makarna,3 yemek kaşığı yoğurt,2 yemek kaşığı un,2 yemek kaşığı tereyağı,1 tatlı kaşığı nane,Yarım tatlı kaşığı pulbiber,,,,,,,,,,,,,,,,,,,
Bulgur Köfteli Yoğurt Çorbası,https://www.nefisyemektarifleri.com/bulgur-kofteli-yogurt-corbasi/,Kırmızı Et,Çorba,123,21.8,3.7,2.5,1.8,48.2,181.54,113.5,221.69,93.58,0.2,1.04,7.49,1 su bardağı yoğurt,2 yemek kaşığı un (tepeleme),1 adet yumurta sarısı,5 su bardağı su,Yarım su bardağı köftelik bulgur,2 yemek kaşığı un (silme),1 çay bardağı sıcak su,Tuz,1 tatlı kaşığı nane,1 çay kaşığı kırmızı biber,,,,,,,,,,,,,,,,,,,,
Çeşmi Nigar Çorbası,https://www.nefisyemektarifleri.com/cesmi-nigar-corbasi-tarifi/,Bakliyat,Çorba,357,26,12,22,6.8,97.4,467.95,508.09,102.22,371.58,7.09,2.48,27.73,1 büyük baş soğan,1 küçük çay bardağı sıvı yağ,4 yemek kaşığı un,1 su bardağı kırmızı mercimek,2 litre su (10 su bardağı),Yeteri kadar tuz,1 su bardağı süt,1 limonun suyu,2 yumurta sarısı,Tereyağı,Nane,Pul biber,,,,,,,,,,,,,,,,,,
Mantar Çorbası,https://www.nefisyemektarifleri.com/video/kremali-tadinda-mantar-corbasi-videosu/,Sebze,Çorba,161,12,6.4,9.8,0.42,4.8,390.14,344.09,53.7,55.4,1.4,0.5,4.44,10-12 adet mantar (İnce dilimlenmiş),Yarım çay bardağı sıvı yağ,2 tepeleme yemek kaşığı un,4 su bardağı tavuk suyu veya su,1 su bardağı süt,1 tatlı kaşığı tuz,1 yemek kaşığı limon suyu,,,,,,,,,,,,,,,,,,,,,,,
Yayla Çorbası,https://www.nefisyemektarifleri.com/orjinal-tarifiyle-efsane-yayla-corbasi-cok-kolay/,Süt Ürünü,Çorba,99,10.6,2.01,5.47,0.04,25.57,187.45,41.9,23.32,58.46,0.08,0.38,7.1,1 su bardağı yoğurt (230 ml),1 çay bardağı pirinç (100 ml),1 yumurta,1 yemek kaşığı un,1 tatlı kaşığı tuz,1 litre su,1 yemek kaşığı tereyağ,2 yemek kaşığı zeytinyağı,1 tatlı kaşığı kuru nane,,,,,,,,,,,,,,,,,,,,,
Pratik Domates Çorbası,https://www.nefisyemektarifleri.com/video/pratik-domates-corbasi-tarifi-videolu/,Sebze,Çorba,119,10.4,2.1,8.1,1.76,5.34,245.7,363.36,42.28,997.2,17.2,0.62,35.24,2 yemek kaşığı sıvı yağ,1 yemek kaşığı tereyağı,2 yemek kaşığı un,1 yemek kaşığı domates salçası,5 adet rendelenmiş domates,4 su bardağı su,Tuz,Karabiber,1 çay bardağı sıcak süt,,,,,,,,,,,,,,,,,,,,,
Yoğurtlu Dövme Çorbası,https://www.nefisyemektarifleri.com/yogurtlu-dovme-corbasi-tarifi/,Tahıl,Çorba,276,42.8,11.4,6.5,5.5,53.4,202.9,418.7,103.3,290.7,0.48,3.3,26.45,1 su bardağı dövme (aşurelik buğday),1.5 su bardağı nohut,1 yemek kaşığı tereyağı,Yeterince et suyu veya su,Tuz,Kuru nane,Kırmızı biber,1 su bardağı yoğurt,1 yemek kaşığı un (tepeleme),1 adet yumurta sarısı,,,,,,,,,,,,,,,,,,,,
Yayla Çorbası,https://www.nefisyemektarifleri.com/yayla-corbasi-lokanta-usulu/,Süt Ürünü,Çorba,127,13.7,2.7,6.7,0.02,29.8,94.28,111.7,36.28,64.14,0.12,0.25,10.79,1 çay bardağı pirinç,8 su bardağı su,1 tatlı kaşığı tuz,1 yemek kaşığı un,1 adet yumurta,1 su bardağı yoğurt,3 yemek kaşığı sıvı yağ,1 yemek kaşığı kuru nane,,,,,,,,,,,,,,,,,,,,,,
Toyga Çorbası,https://www.nefisyemektarifleri.com/video/toyga-corbasi-nasil-yapilir/,Tahıl,Çorba,137,17.1,4.5,5.5,2.83,41.97,127,149.2,50.15,96.8,0.34,1.16,12.18,Yarım su bardağı yarma (dövme),1 su bardağı süzme yoğurt,2 yemek kaşığı un,1 yumurta sarısı,1 su bardağı haşlanmış nohut (ben haşlayıp dondurucuya kaldırmıştım. oradan kullandım),6 su bardağı su,Tuz,2 yemek kaşığı tereyağı,1 tatlı kaşığı kuru nane,,,,,,,,,,,,,,,,,,,,,
Yayla Çorbası,https://www.nefisyemektarifleri.com/yayla-corbasi-tarifi/,Süt Ürünü,Çorba,119,14.5,2.8,5.3,0.05,43.6,130.6,77.5,53.5,101.8,0.19,0.43,10.79,1 çay bardağı pirinç,3 su bardağı su,3 su bardağı sıcak su (tavuk suyu veya kemik suyu),Tuz,1 adet yumurta sarısı,1.5 su bardağı yoğurt,1 yemek kaşığı un,2 yemek kaşığı tereyağı,1 yemek kaşığı kuru nane,,,,,,,,,,,,,,,,,,,,,
Şehriye Çorbası,https://www.nefisyemektarifleri.com/sehriye-corbasi-tarifi/,Tahıl,Çorba,118,14.2,2.1,6,0.25,10.68,143.4,159.4,13.71,234.34,4.64,0.5,34.2,1 litre sıcak su,1 çay bardağı tel şehriye,2 yemek kaşığı tereyağı,1 su bardağı domates rendesi,Karabiber. pul biber,Tuz,,,,,,,,,,,,,,,,,,,,,,,,
Sütlü Brokoli Çorbası,https://www.nefisyemektarifleri.com/sutlu-brokoli-corbasi-2950150/,Sebze,Çorba,123,10.3,4.3,7.1,2.62,3.8,118.3,196.7,342.34,1114.8,81.5,1.07,57.48,1 büyük dal brokoli,1 adet soğan,1 adet havuç,2 diş sarımsak,3 yemek kaşığı tepeleme un,1 yemek kaşığı tereyağı,2 yemek kaşığı sıvı yağ,6 su bardağı su,2 su bardağı süt,Tuz,Karabiber,Arzu eden tavuk bulyon veya tavuk suyu kullanabilir,,,,,,,,,,,,,,,,,,
Yoğurt Çorbası,https://www.nefisyemektarifleri.com/yogurt-corbasi-kesinlikle-deneyin-mukemmel-oluyor/,Süt Ürünü,Çorba,106,9.7,2.6,6.4,0.3,5.8,94.8,136.3,60.01,169.2,0.4,0.4,3.5,8 yemek kaşığı yoğurt,2 yemek kaşığı un,1 tatlı kaşığı tuz,4 bardak soğuk su,2 avuç minik erişte,Yarım çay bardağı sıvı yağ,1.5 tatlı kaşığı nane,1 tatlı kaşığı pul biber,,,,,,,,,,,,,,,,,,,,,,
Sebze Çorbası,https://www.nefisyemektarifleri.com/harika-sebze-corbasi-denemeyen-kalmasin-2518043/,Sebze,Çorba,173,16.7,3.3,10.3,2.8,0,157.4,631.1,69.7,756.4,42.3,1.6,38.33,1 kuru soğan,1 büyük patates,1 büyük havuç,1 tane kabak,2 sivri biber,1 kaşık salça,Sıvı yağ,Karabiber,Pul biber,Tuz,7 su bardağı sıcak su,,,,,,,,,,,,,,,,,,,
Soğan Çorbası,https://www.nefisyemektarifleri.com/sogan-corbasi/,Sebze,Çorba,101,10.8,4.3,4.2,0.41,10.14,331.26,244.68,36.58,27.2,1.8,0.42,19.34,1 adet kuru soğan,1 çorba kaşığı tereyağ (tepeleme),1.5 çorba kaşığı un,4-5 su bardağı tavuk suyu,Karabiber,Tuz,,,,,,,,,,,,,,,,,,,,,,,,
Terbiyeli Erişteli Yeşil Mercimek Çorbası,https://www.nefisyemektarifleri.com/terbiyeli-eristeli-yesil-mercimek-corbasi/,Bakliyat,Çorba,140,15.6,7,5.2,0.7,28.25,264.18,273.46,51.93,141.1,0.52,0.87,8.06,8 bardak su veya et suyu,1 su bardağı haşlanmış yeşil mercimek,1 su bardağı erişte,1 su bardağı yoğurt,1 yumurta,2 yemek kaşığı un,Tuz,2 yemek kaşığı tereyağı,1 tatlı kaşığı nane,1 çay kaşığı pul biber,,,,,,,,,,,,,,,,,,,,
Altın Mercimek Çorbası,https://www.nefisyemektarifleri.com/altin-mercimek-corbasi-lokanta-usulu/,Bakliyat,Çorba,236,23.1,9.9,10.17,7.15,0,114.6,309.69,353.5,1345.9,2.47,2.04,16.63,1 su bardağı kırmızı mercimek,1 adet soğan,1 adet patates,1 adet havuç,1 tatlı kaşığı tuz,4 yemek kaşığı sıvı yağ,6-7 su bardağı su,,,,,,,,,,,,,,,,,,,,,,,
Şehriyeli Pirinç Pilavı,https://www.nefisyemektarifleri.com/video/sehriyeli-pirinc-pilavi-nasil-yapilir/,Tahıl,Yan Yemek,492,79.2,10,13.8,0.5,14.2,128.2,217.6,16.99,35,0.54,1.18,17.6,2 yemek kaşığı tereyağı,3 yemek kaşığı sıvı yağ,2 su bardağı pirinç,Yarım su bardağı arpa şehriye,3 su bardağı sıcak su (tavuk suyu),Tuz,,,,,,,,,,,,,,,,,,,,,,,,
Meyhane Pilavı,https://www.nefisyemektarifleri.com/meyhane-pilavi-domatesli-bulgur-pilavi/,Tahıl,Yan Yemek,214,26.6,3.8,10.2,4.58,0,146.6,368.6,25.8,543.56,32.8,2,48.52,2 su bardağı pilavlık bulgur,1/3 çay bardağı sıvı yağ (4 yemek kaşığı),3 su bardağı sıcak su,1 adet orta boy kuru soğan,2 adet sivri biber,1 adet kırmızı biber,1 adet orta boy domates ya da 8 adet çeri domates,1 yemek kaşığı salça,Tuz,Karabiber,Pul biber,Kimyon,,,,,,,,,,,,,,,,,,
Sebzeli Bulgur Pilavı,https://www.nefisyemektarifleri.com/video/sebzeli-bulgur-pilavi-nasil-yapilir/,Tahıl,Yan Yemek,407,30.6,15.9,23.6,2.6,71.5,755.8,438.2,248.3,812.8,21.2,1.9,25.7,4 yemek kaşığı sıvı yağ,1 adet soğan,1 adet yeşil biber,1 adet kırmızı biber,1 adet patlıcan,2 adet domates,1 yemek kaşığı salça,2 su bardağı bulgur,1.5 tatlı kaşığı tuz,4 su bardağı sıcak su,,,,,,,,,,,,,,,,,,,,
Mercimekli Bulgur Pilavı,https://www.nefisyemektarifleri.com/video/mercimekli-bulgur-pilavi-nasil-yapilir/,Tahıl,Yan Yemek,369,29.3,6.6,24.3,7.3,5.3,337.9,413.3,98.3,61.8,3.1,2.7,19.24,2 çay bardağı pilavlık bulgur,2 adet büyük boy kuru soğan,1.5 çay bardağı yeşil mercimek,1 çay bardağı zeytinyağı (125 ml),1 yemek kaşığı tereyağı,4 çay bardağı su (500 ml),1 tatlı kaşığı tuz,,,,,,,,,,,,,,,,,,,,,,,
Pirinç Pilavı,https://www.nefisyemektarifleri.com/video/pirinc-pilavi-tarifi-videosu/,Tahıl,Yan Yemek,370,63.2,5.2,10,0,16.02,172.12,175.2,40.07,50.6,0,0.6,18.2,2 su bardağı pirinç,2.5 su bardağı sıcak su,3 yemek kaşığı tereyağı,1 yemek kaşığı sıvı yağ,Tuz,Pirinçlerin üzerini geçecek kadar ılık su,Tuz,,,,,,,,,,,,,,,,,,,,,,,
